timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168446.187,0.000,-38.574,0.000,36.133,60.547
1711168446.191,0.000,-38.086,0.000,36.133,52.734
1711168446.195,0.000,-40.039,0.000,50.781,54.199
1711168446.199,0.000,-37.109,0.000,51.270,62.988
1711168446.203,0.000,-40.527,0.000,33.203,62.500
1711168446.207,0.000,-40.039,0.000,23.438,36.133
1711168446.211,0.000,-33.691,0.000,39.062,72.754
1711168446.215,-320.312,-29.785,38.086,37.109,102.051
1711168446.218,-313.965,-29.785,36.621,6.348,35.156
1711168446.222,-312.012,-31.250,33.203,17.578,66.406
1711168446.226,-396.484,-34.668,31.250,33.691,104.004
1711168446.230,-487.305,-29.297,27.832,26.855,24.414
1711168446.234,-565.918,-52.734,24.414,23.926,11.719
1711168446.238,-673.828,-89.355,28.320,33.203,41.016
1711168446.242,-847.168,-86.914,29.297,41.016,78.613
1711168446.246,-965.332,-82.031,23.926,66.406,98.633
1711168446.250,-966.797,-76.172,20.996,57.617,19.043
1711168446.254,-966.309,-86.914,16.602,19.531,-11.230
1711168446.257,-969.727,-103.516,13.672,37.598,21.973
1711168446.261,-968.750,-168.457,17.090,54.199,-23.438
1711168446.265,-968.750,-244.629,20.996,53.711,-45.410
1711168446.269,-968.750,-251.465,18.555,41.016,20.996
1711168446.273,-968.750,-248.535,13.672,50.293,16.113
1711168446.277,-968.750,-289.551,9.277,40.527,-22.949
1711168446.281,-968.750,-325.195,-1.465,19.531,40.039
1711168446.285,-968.750,-308.105,-4.883,22.949,69.336
1711168446.289,-968.750,-283.691,-0.488,19.043,3.418
1711168446.293,-968.750,-260.742,-2.930,16.113,9.277
1711168446.297,-968.750,-241.699,-7.812,28.320,36.133
1711168446.300,-968.750,-226.562,-12.695,42.480,-33.203
1711168446.304,-968.750,-211.914,-16.602,15.625,-43.457
1711168446.308,0.000,-191.895,-17.578,14.160,53.711
1711168446.312,0.000,-173.340,-15.625,19.043,13.184
1711168446.316,0.000,-163.574,-13.672,21.484,-11.230
1711168446.320,0.000,-148.438,-13.672,24.902,-9.277
1711168446.324,0.000,-146.973,-7.812,33.203,28.809
1711168446.328,0.000,-164.062,-5.371,55.664,39.062
1711168446.332,0.000,-166.016,3.906,53.223,-6.348
1711168446.336,0.000,-153.320,15.137,46.387,32.227
1711168446.339,0.000,-134.766,19.043,17.578,71.289
1711168446.343,0.000,-118.164,26.855,25.879,46.875
1711168446.347,0.000,-103.027,34.668,62.012,4.883
1711168446.351,0.000,-84.473,35.645,37.109,-9.766
1711168446.355,-968.750,-71.777,0.000,16.113,27.344
1711168446.359,-968.750,-60.547,0.000,20.996,63.477
1711168446.363,-968.750,-48.828,0.000,11.230,29.297
1711168446.367,-968.750,-41.504,0.000,-1.953,49.805
1711168446.371,-968.750,-34.668,0.000,1.953,33.203
1711168446.375,-968.750,-27.832,0.000,19.043,-10.254
1711168446.379,-968.750,-22.949,0.000,28.320,4.883
1711168446.382,-968.750,-16.113,0.000,26.367,-11.719
